run_id,variant,case_set,instance_id,solved,steps_used,tree_nodes,effective_steps,steps_allowed,fraction_steps_used,total_tokens,cost_bpt,cost_usd,duration_s,stopped_reason
B_c2_rafe_linear,B,c2,sprint_rollup_001,1,3,4,4,18,0.1667,6990,304110.0,0.00083723,51.19,auto_finalized
B_c2_rafe_linear,B,c2,tag_visibility_001,1,3,4,4,18,0.1667,6521,283290.0,0.00078496,52.04,auto_finalized
B_c2_rafe_linear,B,c2,timeline_caption_001,0,36,38,38,18,2.0000,113663,2287950.0,0.006124610000000001,173.31,reviewer_rejected
B_c2_rafe_linear,B,c2,window_center_001,0,0,0,0,18,0.0000,0,0.0,0.0,2.75,
B_c3_rafe_linear,B,c3,alert_subject_001,0,36,38,38,18,2.0000,99574,1645980.0,0.004441940000000001,167.66,reviewer_rejected
B_c3_rafe_linear,B,c3,backlog_health_medium_c3_001,1,4,5,5,18,0.2222,9479,385170.0,0.0010750199999999999,56.18,auto_finalized
B_c3_rafe_linear,B,c3,c3_banner_trim_001,1,3,4,4,18,0.1667,6549,280710.0,0.00076884,52.22,auto_finalized
B_c3_rafe_linear,B,c3,c3_clamp_floor_001,1,3,4,4,18,0.1667,6613,297300.0,0.0008499199999999999,56.44,auto_finalized
B_c3_rafe_linear,B,c3,c3_csv_count_001,1,3,4,4,18,0.1667,6419,275820.0,0.00074627,49.11,auto_finalized
B_c3_rafe_linear,B,c3,c3_eta_label_001,1,3,4,4,18,0.1667,6454,282630.0,0.00078895,54.68,auto_finalized
B_c3_rafe_linear,B,c3,c3_initials_join_001,1,31,33,33,18,1.7222,85882,1488630.0,0.00409201,174.8,submitted
B_c3_rafe_linear,B,c3,c3_slug_tail_001,1,3,4,4,18,0.1667,6592,296670.0,0.00085209,54.13,auto_finalized
B_c3_rafe_linear,B,c3,c3_title_case_001,1,7,8,8,18,0.3889,16274,573360.0,0.00160059,66.04,auto_finalized
B_c3_rafe_linear,B,c3,escalation_caption_001,0,36,38,38,18,2.0000,101879,1782960.0,0.00498545,214.99,reviewer_rejected
B_c3_rafe_linear,B,c3,invoice_alerts_medium_c3_001,1,4,5,5,18,0.2222,9286,371010.0,0.00100677,52.72,auto_finalized
B_c3_rafe_linear,B,c3,ledger_preview_001,1,4,5,5,18,0.2222,8729,357720.0,0.0010096200000000001,57.07,auto_finalized
B_c3_rafe_linear,B,c3,oncall_brief_medium_c3_001,1,4,5,5,18,0.2222,9789,407790.0,0.00117868,58.63,auto_finalized
B_c3_rafe_linear,B,c3,quota_snapshot_medium_c3_001,1,4,5,5,18,0.2222,9473,387060.0,0.0010823999999999999,58.82,auto_finalized
B_c3_rafe_linear,B,c3,release_notes_medium_c3_001,1,4,5,5,18,0.2222,9600,390510.0,0.0010971800000000001,61.62,auto_finalized
B_c3_rafe_linear,B,c3,roster_signature_001,0,24,26,26,18,1.3333,67726,2006520.0,0.005431780000000001,150.27,reviewer_rejected
B_c3_rafe_linear,B,c3,segment_badge_001,1,5,6,6,18,0.2778,10937,441150.0,0.00128633,68.2,auto_finalized
B_c3_rafe_linear,B,c3,ticket_digest_medium_c3_001,1,4,5,5,18,0.2222,9627,389520.0,0.00108214,60.63,auto_finalized
B_c3_rafe_linear,B,c3,transfer_digest_001,0,36,38,38,18,2.0000,119143,2317590.0,0.006601289999999999,244.96,reviewer_rejected
B_c3_rafe_linear,B,c3,uptime_rollup_medium_c3_001,1,4,5,5,18,0.2222,10234,458220.0,0.00142067,106.77,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,board_rollup_001,1,3,4,4,18,0.1667,7585,335550.0,0.00092885,66.73,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,budget_snapshot_001,0,36,38,38,18,2.0000,109510,2348160.0,0.006304960000000001,216.79,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,contact_card_001,0,22,24,24,18,1.2222,59721,862260.0,0.0023624899999999996,163.31,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,digest_preview_001,0,36,38,38,18,2.0000,139645,2635860.0,0.00705009,254.63,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,incident_brief_001,1,6,7,7,18,0.3333,16410,638730.0,0.00186249,90.79,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,invoice_footer_001,1,10,11,11,18,0.5556,32279,1118490.0,0.0033307799999999998,121.93,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,label_formatter_001,1,6,7,7,18,0.3333,15194,592260.0,0.0017798900000000001,85.18,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,median_window_001,1,3,4,4,18,0.1667,6663,288900.0,0.0007948199999999999,63.01,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,milestone_rollup_001,1,4,5,5,18,0.2222,9248,374640.0,0.00104274,68.74,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,nested_app_001,1,5,6,6,18,0.2778,12643,509070.0,0.00147518,84.59,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,owner_recap_001,1,17,18,18,18,0.9444,49277,1619790.0,0.004507399999999999,120.59,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,owner_sort_001,1,3,4,4,18,0.1667,6645,283230.0,0.0007587900000000001,61.66,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,priority_snapshot_001,1,4,5,5,18,0.2222,10114,407820.0,0.00114637,73.77,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,renewal_preview_001,1,4,5,5,18,0.2222,10944,599490.0,0.0018201299999999999,106.7,auto_finalized
