run_id,variant,case_set,instance_id,solved,steps_used,effective_steps,tree_nodes,steps_allowed,solve_fraction,total_tokens,cost_bpt,stopped_reason
B_strict_c1_rafe_linear,B_strict,c1,renewal_preview_001,1,4,5,5,18,0.2222,10944,599490.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,risk_score_001,1,3,4,4,18,0.1667,7067,307770.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,shipment_preview_001,0,36,38,38,18,2.0000,101311,1857780.0,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,simple_mean_bug_001,1,3,4,4,18,0.1667,7124,300030.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,status_slug_001,1,3,4,4,18,0.1667,6612,285210.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,team_digest_001,1,6,7,7,18,0.3333,15469,559830.0,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,workspace_digest_001,1,4,5,5,18,0.2222,11546,460410.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,assignee_board_001,0,36,38,38,18,2.0000,104298,1974870.0,reviewer_rejected
B_strict_c2_rafe_linear,B_strict,c2,campaign_header_001,0,36,38,38,18,2.0000,98868,1795590.0,reviewer_rejected
B_strict_c2_rafe_linear,B_strict,c2,comment_highlight_001,1,4,5,5,18,0.2222,9696,384840.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,dispatch_preview_001,0,36,38,38,18,2.0000,112255,2272050.0,reviewer_rejected
B_strict_c2_rafe_linear,B_strict,c2,fee_rounding_001,1,3,4,4,18,0.1667,6515,280410.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,headline_api_001,1,21,23,23,18,1.1667,60198,455730.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,incident_brief_c2_001,1,6,7,7,18,0.3333,16825,767550.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,invoice_summary_001,1,3,4,4,18,0.1667,7451,319290.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,label_join_001,1,3,4,4,18,0.1667,7925,469950.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,partner_brief_001,1,7,8,8,18,0.3889,16527,612630.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,profile_preview_001,0,36,38,38,18,2.0000,99166,1895820.0,reviewer_rejected
B_strict_c2_rafe_linear,B_strict,c2,queue_digest_001,1,4,5,5,18,0.2222,9249,371250.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,ratio_guard_001,1,3,4,4,18,0.1667,7479,318330.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,renewal_banner_001,1,4,5,5,18,0.2222,9007,379920.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,retry_slot_001,1,3,4,4,18,0.1667,7243,355710.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,shipment_digest_001,1,4,5,5,18,0.2222,9562,388200.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,sprint_rollup_001,1,3,4,4,18,0.1667,7056,302040.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,tag_visibility_001,1,3,4,4,18,0.1667,6485,279870.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,timeline_caption_001,1,21,23,23,18,1.1667,56791,525930.0,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,window_center_001,1,3,4,4,18,0.1667,6440,273120.0,auto_finalized
B_strict_c3_rafe_linear,B_strict,c3,alert_subject_001,0,36,38,38,18,2.0000,106460,1993380.0,reviewer_rejected
B_strict_c3_rafe_linear,B_strict,c3,backlog_health_medium_c3_001,1,4,5,5,18,0.2222,9518,385080.0,auto_finalized
B_strict_c3_rafe_linear,B_strict,c3,c3_banner_trim_001,1,3,4,4,18,0.1667,6427,274170.0,auto_finalized
B_strict_c3_rafe_linear,B_strict,c3,c3_clamp_floor_001,1,3,4,4,18,0.1667,6479,277440.0,auto_finalized
B_strict_c3_rafe_linear,B_strict,c3,c3_csv_count_001,1,3,4,4,18,0.1667,6468,278100.0,auto_finalized
B_strict_c3_rafe_linear,B_strict,c3,c3_eta_label_001,1,3,4,4,18,0.1667,6385,274620.0,auto_finalized
B_strict_c3_rafe_linear,B_strict,c3,c3_initials_join_001,0,36,38,38,18,2.0000,99546,1840800.0,reviewer_rejected
B_strict_c3_rafe_linear,B_strict,c3,c3_slug_tail_001,1,3,4,4,18,0.1667,6490,286860.0,auto_finalized
B_strict_c3_rafe_linear,B_strict,c3,c3_title_case_001,1,31,33,33,18,1.7222,90973,1272690.0,auto_finalized
B_strict_c3_rafe_linear,B_strict,c3,escalation_caption_001,0,36,38,38,18,2.0000,113410,2277150.0,reviewer_rejected
